speed_kmh,dist_from_prev_m,inactivity_min,dist_from_route_m,label,scenario,hour
0.45,69.1,23.0,40.8,0,overnight,4
191.85,2000.0,1.06,923.2,1,abduction_speed,13
0.35,36.7,34.0,43.3,0,overnight,22
28.28,8445.1,3.23,3756.4,1,sudden_jump,6
0.96,98.1,39.74,184.6,0,synthetic_normal,17
0.09,32.6,21.0,12.3,0,overnight,12
0.36,47.5,33.0,11.3,0,overnight,11
0.21,6.3,26.0,26.5,0,overnight,11
6.92,200.0,16.51,3100.0,1,route_abandonment,19
0.13,77.6,22.0,33.1,0,overnight,12
186.44,2086.7,2.0,2411.6,1,abduction_speed,12
0.13,91.0,28.2,661.5,0,synthetic_normal,5
0.35,58.5,38.0,27.1,0,overnight,10
0.1,25.9,31.0,9.6,0,overnight,19
21.78,1241.5,7.0,138.9,0,normal,13
0.27,17.5,27.0,31.5,0,overnight,3
0.16,59.1,39.0,20.9,0,overnight,7
0.42,61.3,37.0,49.2,0,overnight,14
0.24,52.3,37.0,16.2,0,overnight,18
16.38,853.0,3.58,1014.1,0,synthetic_normal,10
0.36,48.1,23.0,7.1,0,overnight,16
0.26,59.4,33.0,42.1,0,overnight,17
0.12,39.2,22.0,10.7,0,overnight,12
4.2,242.8,4.92,47.2,0,normal,18
1.46,25.9,7.0,159.5,0,dwell,16
0.12,53.5,35.0,34.5,0,overnight,3
1.02,38.5,12.0,40.3,0,dwell,14
24.88,700.2,18.31,15076.8,1,route_abandonment,8
0.26,58.9,34.0,41.1,0,overnight,2
0.17,75.7,35.0,30.4,0,overnight,22
0.12,16.2,33.0,26.4,0,overnight,22
0.89,20.2,107.19,772.8,1,prolonged_inactivity,10
0.45,36.5,28.0,28.9,0,overnight,12
1.44,29.9,8.0,40.0,0,dwell,16
0.25,34.6,21.0,15.5,0,overnight,21
0.11,10.4,13.0,174.3,0,dwell,13
0.33,44.3,20.0,39.3,0,overnight,3
0.13,40.1,25.0,31.5,0,overnight,18
3.35,144.4,25.0,109.3,0,normal,13
0.52,106.7,35.71,446.4,0,synthetic_normal,3
0.48,33.9,32.0,46.1,0,overnight,15
0.21,12.4,32.0,46.0,0,overnight,1
0.17,44.1,35.0,12.4,0,overnight,2
0.44,8.8,36.0,21.2,0,overnight,12
0.29,42.3,30.0,41.5,0,overnight,5
0.24,26.7,36.0,22.0,0,overnight,22
0.16,22.8,27.0,26.8,0,overnight,4
0.48,61.9,39.0,48.0,0,overnight,0
0.46,45.6,25.0,12.0,0,overnight,18
0.23,63.6,29.0,31.0,0,overnight,9
20.42,11965.3,52.91,7579.2,1,signal_loss_return,23
0.02,74.0,35.0,52.3,0,overnight,20
0.32,36.4,31.0,5.5,0,overnight,12
0.41,43.3,31.0,11.7,0,overnight,16
0.84,12.0,9.0,132.8,0,dwell,16
0.33,45.5,36.0,8.9,0,overnight,8
1.38,27.3,14.0,14.0,0,dwell,18
1.41,34.1,11.0,145.4,0,dwell,14
142.17,5531.7,1.97,3564.1,1,abduction_speed,18
0.2,44.1,26.0,13.4,0,overnight,6
0.45,57.7,37.0,30.6,0,overnight,0
0.32,26.5,32.0,8.4,0,overnight,12
0.27,73.1,30.0,44.6,0,overnight,1
1.27,9.6,9.0,46.5,0,dwell,22
0.61,35.2,7.0,18.8,0,dwell,17
0.02,76.2,22.0,43.1,0,overnight,0
0.41,81.9,40.0,32.5,0,overnight,2
0.2,21.7,38.0,27.1,0,overnight,11
0.41,44.0,8.0,30.5,0,dwell,15
0.29,6.7,23.0,50.9,0,overnight,9
0.47,69.2,40.0,34.1,0,overnight,20
0.21,7.4,108.19,1047.6,1,prolonged_inactivity,21
0.3,29.3,35.0,41.0,0,overnight,7
0.42,62.3,30.0,27.8,0,overnight,12
0.33,33.0,22.0,30.1,0,overnight,17
6.02,142.8,5.52,128.6,0,normal,3
0.06,46.4,28.0,34.3,0,overnight,12
0.13,61.4,25.0,52.7,0,overnight,19
0.93,24.4,10.0,140.9,0,dwell,13
0.4,32.4,32.0,20.7,0,overnight,5
0.43,17.5,32.0,26.4,0,overnight,23
0.66,22.1,14.0,6.7,0,dwell,14
22.69,1672.0,6.65,102.8,0,normal,16
0.32,54.5,38.0,53.0,0,overnight,8
0.11,62.6,36.0,32.5,0,overnight,12
1.51,18.4,7.0,85.5,0,dwell,14
0.33,27.5,40.0,39.9,0,overnight,11
0.87,8.5,28.89,148.4,0,synthetic_normal,11
0.38,29.2,39.0,25.1,0,overnight,22
0.91,27.8,8.0,44.7,0,dwell,15
0.9,22.9,6.0,96.2,0,dwell,16
0.15,50.5,35.0,40.4,0,overnight,9
0.14,56.9,25.0,45.8,0,overnight,4
0.36,13.0,25.0,37.4,0,overnight,7
0.46,42.2,39.0,17.6,0,overnight,16
0.03,45.0,11.0,38.2,0,dwell,15
0.21,25.5,21.0,20.2,0,overnight,11
0.36,51.7,31.0,40.0,0,overnight,22
0.26,38.3,21.0,40.2,0,overnight,23
0.33,19.0,30.0,36.4,0,overnight,21
23.77,3000.0,3.52,3210.7,1,sudden_jump,18
31.79,11029.1,2.09,1000.0,1,sudden_jump,18
0.02,47.6,40.0,41.3,0,overnight,12
0.16,48.9,36.0,19.1,0,overnight,10
0.1,51.6,34.0,36.8,0,overnight,20
0.38,34.8,29.0,44.3,0,overnight,9
0.49,31.4,32.0,42.4,0,overnight,2
0.54,50.2,11.0,98.8,0,dwell,14
0.47,71.2,36.0,49.8,0,overnight,12
0.47,7.9,46.0,721.0,1,prolonged_inactivity,3
0.05,41.0,23.0,16.6,0,overnight,9
0.31,68.6,37.0,43.9,0,overnight,0
0.21,44.6,13.85,519.1,0,synthetic_normal,22
0.07,79.8,25.39,668.3,0,synthetic_normal,13
175.51,5019.9,1.25,1256.8,1,abduction_speed,3
0.21,46.2,9.0,125.4,0,dwell,13
0.39,53.8,40.0,13.2,0,overnight,18
29.01,897.3,3.03,546.8,0,normal,14
0.32,49.6,34.0,45.9,0,overnight,12
0.1,26.1,22.0,18.4,0,overnight,11
0.14,43.4,34.0,51.4,0,overnight,23
6.57,266.8,6.55,114.2,0,normal,13
0.44,18.5,33.0,46.5,0,overnight,4
25.49,0.0,4.16,813.1,0,synthetic_normal,4
0.44,71.7,37.0,45.5,0,overnight,1
0.23,50.5,31.0,17.7,0,overnight,20
3.42,115.1,3.83,81.1,0,normal,14
0.4,32.0,20.0,52.6,0,overnight,11
0.21,16.2,30.0,8.3,0,overnight,23
0.05,134.1,19.99,6.5,0,synthetic_normal,19
31.3,2495.4,6.17,225.7,0,normal,14
0.05,13.0,22.0,15.3,0,overnight,2
1.24,19.6,11.0,9.4,0,dwell,14
6.29,472.3,6.02,359.3,0,normal,16
49.51,757.7,3.07,192.5,0,synthetic_normal,22
2.78,0.0,0.02,261.1,0,normal,13
1.46,65.9,14.0,26.6,0,dwell,5
0.09,45.4,27.0,14.0,0,overnight,19
0.33,34.2,31.0,18.2,0,overnight,16
3.83,247.1,6.62,380.3,0,normal,16
0.49,77.7,22.0,51.4,0,overnight,7
5.76,295.3,76.92,138.4,1,normal,13
0.42,61.0,36.0,21.7,0,overnight,17
0.56,6.3,7.0,22.5,0,dwell,16
0.1,79.5,25.0,34.5,0,overnight,5
0.06,21.8,32.0,29.2,0,overnight,10
4.96,255.1,5.43,181.6,0,normal,16
0.23,53.2,26.0,7.2,0,overnight,20
0.05,33.9,23.0,16.6,0,overnight,12
1.19,42.9,11.0,4.2,0,dwell,15
0.39,23.4,28.0,41.9,0,overnight,12
0.06,63.3,36.0,32.9,0,overnight,22
1.1,10.2,6.0,22.3,0,dwell,15
0.16,38.8,22.0,33.1,0,overnight,10
0.82,14.1,9.0,120.2,0,dwell,14
0.37,50.1,40.0,46.9,0,overnight,12
0.08,18.3,23.0,14.8,0,overnight,18
2.96,96720.9,179.22,102.4,1,intercity_transit,15
0.44,14.1,21.0,48.3,0,overnight,18
0.11,20.8,30.0,44.2,0,overnight,5
0.19,94.3,33.0,43.6,0,overnight,18
0.53,20.1,9.0,87.7,0,dwell,14
0.48,24.7,29.0,43.2,0,overnight,3
0.16,45.9,27.0,40.9,0,overnight,19
0.29,67.0,31.0,50.9,0,overnight,3
0.32,28.6,37.0,29.5,0,overnight,20
31.69,2024.1,5.37,39.9,0,normal,14
0.03,42.0,30.0,40.8,0,overnight,10
37.93,809.9,4.81,1052.5,0,synthetic_normal,4
1.27,5.9,7.0,24.5,0,dwell,15
1.36,28.1,12.0,52.6,0,dwell,6
34.2,6897.2,3.22,6080.1,1,sudden_jump,4
0.41,25.4,40.0,18.8,0,overnight,2
1.31,12.7,7.0,10.4,0,dwell,14
0.13,42.6,33.0,25.6,0,overnight,22
0.15,16.6,27.0,35.9,0,overnight,19
3.18,120.8,4.58,40.7,0,normal,15
0.16,43.1,33.0,38.0,0,overnight,23
0.19,55.2,32.0,41.1,0,overnight,12
0.26,42.0,35.0,24.0,0,overnight,20
5.69,258.4,4.87,199.9,0,normal,15
0.09,37.2,25.0,34.1,0,overnight,19
0.37,16.3,39.0,21.4,0,overnight,19
0.13,81.6,23.0,22.1,0,overnight,19
0.42,66.1,40.0,47.3,0,overnight,4
0.14,37.3,6.0,21.1,0,dwell,22
0.0,13.8,60.92,928.0,1,prolonged_inactivity,0
0.17,95.3,26.27,42.1,0,synthetic_normal,4
0.12,62.4,28.0,54.8,0,overnight,19
0.25,60.9,38.0,27.9,0,overnight,16
0.62,44.4,11.0,8.1,0,dwell,15
0.34,48.1,39.0,20.1,0,overnight,3
0.33,38.3,30.0,26.2,0,overnight,2
0.12,51.9,21.0,45.3,0,overnight,16
0.12,48.0,21.0,11.7,0,overnight,4
0.22,16.2,34.0,36.4,0,overnight,7
0.76,61.0,26.72,162.2,0,synthetic_normal,16
0.41,72.9,31.0,28.2,0,overnight,11
0.07,23.2,29.0,43.9,0,overnight,10
0.21,50.5,26.0,16.4,0,overnight,0
0.41,37.5,37.0,40.2,0,overnight,10
1.09,22.1,7.0,123.1,0,dwell,17
0.01,37.9,22.0,38.4,0,overnight,5
0.05,37.1,23.0,18.6,0,overnight,18
0.47,45.4,26.0,4.2,0,overnight,2
0.1,46.9,35.0,16.7,0,overnight,9
0.31,24.7,26.0,11.9,0,overnight,19
0.01,25.7,43.33,648.3,0,synthetic_normal,12
0.13,4.2,25.0,38.5,0,overnight,7
0.3,68.7,39.0,32.3,0,overnight,18
0.04,17.5,38.0,31.6,0,overnight,0
1.05,29.3,7.0,123.0,0,dwell,20
0.49,60.8,23.0,24.9,0,overnight,0
0.46,67.0,34.0,44.4,0,overnight,17
0.14,9.1,13.0,57.5,0,dwell,21
0.45,31.9,22.0,24.0,0,overnight,7
2.71,96.9,6.08,19.9,0,normal,14
0.3,41.2,36.0,32.2,0,overnight,11
0.19,19.3,31.0,48.5,0,overnight,18
0.4,59.1,27.0,27.7,0,overnight,22
0.13,31.2,21.0,17.9,0,overnight,1
0.22,17.8,12.0,74.6,0,dwell,13
0.09,64.3,10.0,81.0,0,dwell,17
0.18,0.6,17.51,486.6,0,synthetic_normal,14
0.28,73.1,28.0,31.0,0,overnight,0
0.26,21.2,26.0,24.8,0,overnight,7
20.47,9403.1,1.04,2884.0,1,sudden_jump,9
0.21,15.0,11.0,50.1,0,dwell,15
0.35,32.9,40.0,18.8,0,overnight,8
0.07,65.8,20.0,26.9,0,overnight,1
0.43,46.1,35.0,39.0,0,overnight,2
0.47,9.6,30.0,40.2,0,overnight,7
0.25,167.9,21.49,190.1,0,synthetic_normal,5
0.47,69.6,29.0,35.2,0,overnight,20
135.68,3808.7,2.14,1730.5,1,abduction_speed,7
3.61,20531.4,213.05,241.4,1,intercity_transit,16
0.32,36.0,26.0,46.8,0,overnight,7
1.55,27.2,8.0,61.9,0,dwell,14
0.55,133.8,28.16,1128.5,0,synthetic_normal,7
0.22,62.1,25.0,25.9,0,overnight,11
0.18,3.9,10.34,372.9,0,synthetic_normal,0
0.19,10.3,21.0,39.6,0,overnight,4
0.4,45.0,27.0,35.1,0,overnight,12
0.16,76.8,39.0,32.2,0,overnight,11
0.98,16.7,6.0,125.0,0,dwell,13
4.21,144.0,4.03,48.1,0,normal,14
0.26,41.2,26.0,28.2,0,overnight,17
0.11,42.4,27.0,35.0,0,overnight,22
0.16,31.4,20.0,39.1,0,overnight,20
5.12,219.3,3.88,168.0,0,normal,13
0.71,21.5,7.0,65.8,0,dwell,13
4.56,236.5,3.63,67.7,0,normal,3
0.44,44.9,29.0,26.0,0,overnight,0
1.25,36.8,13.0,32.6,0,dwell,15
24.02,1242.0,16.89,7590.8,1,route_abandonment,21
0.1,67.5,22.0,34.4,0,overnight,8
0.05,37.6,11.0,99.3,0,dwell,6
0.47,7.1,26.28,283.6,0,synthetic_normal,23
0.12,33.9,25.0,20.5,0,overnight,5
0.2,12.7,28.0,32.2,0,overnight,8
0.18,28.6,22.0,10.9,0,overnight,6
0.77,104.2,14.28,263.2,0,synthetic_normal,11
0.04,59.6,7.0,14.2,0,dwell,4
0.38,71.9,20.0,32.8,0,overnight,11
0.11,84.6,34.0,46.6,0,overnight,6
0.06,89.2,35.0,49.1,0,overnight,10
0.2,50.2,39.0,40.0,0,overnight,23
0.21,77.4,21.0,42.5,0,overnight,21
0.85,39.3,7.0,139.0,0,dwell,15
30.69,3357.5,4.77,123.5,0,normal,15
5.22,312.9,6.45,23.7,0,normal,15
0.47,33.3,33.0,18.0,0,overnight,11
29.37,634.0,3.38,500.9,0,synthetic_normal,4
0.49,67.8,39.0,38.9,0,overnight,22
0.16,5.3,113.29,1361.4,1,prolonged_inactivity,4
0.4,50.4,17.73,14.5,0,synthetic_normal,15
0.66,0.0,125.32,406.7,1,prolonged_inactivity,9
0.3,45.5,24.0,38.0,0,overnight,22
0.43,53.4,29.92,1184.5,0,synthetic_normal,15
0.95,23.6,6.0,117.8,0,dwell,19
0.39,47.0,38.0,15.1,0,overnight,13
29.24,2625.5,4.77,62.3,0,normal,14
26.09,3308.1,13.21,3329.8,1,route_abandonment,3
0.29,17.2,36.0,39.5,0,overnight,9
0.18,60.9,35.0,18.8,0,overnight,23
1.38,46.5,14.0,124.8,0,dwell,14
1.41,64.6,10.0,41.5,0,dwell,18
30.99,3595.5,2.6,4045.0,1,sudden_jump,13
0.09,19.9,11.0,8.0,0,dwell,18
11.68,10704.2,3.1,4127.1,1,sudden_jump,16
0.3,56.9,31.0,49.2,0,overnight,10
0.2,21.4,10.52,288.8,0,synthetic_normal,17
5.04,104726.8,463.2,101.8,1,intercity_transit,20
0.19,79.2,38.0,43.9,0,overnight,9
0.33,4.1,34.0,35.3,0,overnight,23
0.08,41.5,31.0,6.6,0,overnight,21
0.01,77.8,31.0,51.7,0,overnight,4
121.0,5761.8,2.08,1583.3,1,abduction_speed,10
3.47,296.2,6.85,17.8,0,normal,14
0.03,12.0,24.0,18.3,0,overnight,9
0.36,27.4,13.0,112.8,0,dwell,14
0.47,30.8,21.0,41.3,0,overnight,17
0.7,10.2,6.0,46.4,0,dwell,4
0.52,104.7,33.53,525.9,0,synthetic_normal,17
0.01,43.0,35.0,31.7,0,overnight,23
0.93,4.7,11.0,61.5,0,dwell,14
0.25,72.8,36.0,42.0,0,overnight,6
0.29,29.5,40.0,13.0,0,overnight,11
4.39,146.3,3.78,189.6,0,normal,4
0.89,23.8,8.0,141.6,0,dwell,8
0.8,60.8,14.0,41.2,0,dwell,15
0.04,27.5,26.0,38.8,0,overnight,18
1.23,10.9,9.0,105.8,0,dwell,13
0.26,37.5,23.0,41.8,0,overnight,14
0.14,29.8,27.96,805.3,0,synthetic_normal,10
0.06,152.6,18.25,575.8,0,synthetic_normal,7
0.23,37.5,36.0,32.2,0,overnight,4
1.56,22.8,12.0,14.8,0,dwell,17
0.08,50.7,37.0,32.0,0,overnight,17
0.31,45.8,11.0,49.6,0,dwell,14
0.9,54.7,22.79,212.9,0,synthetic_normal,8
0.11,65.7,31.0,13.9,0,overnight,5
0.74,96.4,23.32,253.5,0,synthetic_normal,10
0.31,35.7,26.0,37.8,0,overnight,9
3.12,201.1,6.02,38.5,0,normal,19
0.24,50.5,26.0,9.7,0,overnight,20
19.05,1855.7,6.82,75.0,0,normal,15
0.41,44.9,21.0,10.2,0,overnight,2
0.39,32.3,6.0,53.8,0,dwell,14
0.02,75.6,34.0,46.7,0,overnight,20
0.06,21.1,38.0,37.9,0,overnight,20
4.65,207.8,74.42,96.5,1,normal,13
0.37,56.0,40.0,40.1,0,overnight,12
0.15,32.4,37.0,17.1,0,overnight,7
0.58,25.8,8.0,115.6,0,dwell,14
1.29,35.0,12.0,18.5,0,dwell,19
0.15,63.6,34.0,36.8,0,overnight,11
0.59,20.5,12.0,54.5,0,dwell,18
0.39,84.6,30.0,39.9,0,overnight,1
0.32,63.1,33.0,54.4,0,overnight,12
0.3,32.7,59.59,213.0,1,prolonged_inactivity,16
1.31,14.7,13.0,129.1,0,dwell,14
1.01,33.9,13.0,64.0,0,dwell,14
0.65,42.8,11.0,114.4,0,dwell,17
1.51,33.0,13.0,50.3,0,dwell,18
0.32,104.6,7.79,75.2,0,synthetic_normal,6
0.25,27.1,26.0,22.5,0,overnight,4
0.2,26.2,24.0,4.7,0,overnight,12
0.25,64.9,21.0,30.9,0,overnight,19
0.37,41.7,33.0,39.9,0,overnight,3
0.76,21.6,8.0,18.0,0,dwell,15
0.46,66.8,29.0,45.7,0,overnight,19
0.34,56.5,6.0,74.0,0,dwell,14
0.07,30.6,20.0,33.9,0,overnight,4
0.22,74.8,21.0,49.9,0,overnight,6
0.33,28.1,40.0,16.6,0,overnight,8
0.34,12.4,24.0,32.3,0,overnight,12
0.49,40.5,21.0,29.2,0,overnight,20
0.77,31.4,6.0,118.8,0,dwell,17
28.87,1790.4,3.35,222.3,0,normal,14
0.31,38.7,11.0,166.9,0,dwell,15
0.06,33.5,38.0,4.6,0,overnight,3
3.9,270.4,3.05,58.6,0,normal,18
0.49,62.4,31.0,25.0,0,overnight,4
0.11,77.1,39.0,35.4,0,overnight,10
0.37,41.0,36.0,19.7,0,overnight,7
42.0,1465.7,5.97,67.7,0,normal,13
0.05,21.0,28.0,44.7,0,overnight,13
0.29,62.1,38.0,38.4,0,overnight,0
39.95,24463.2,257.48,541.5,1,intercity_transit,17
5.73,326.4,3.25,83.7,0,normal,14
0.17,16.2,14.0,6.0,0,dwell,22
0.36,23.3,36.0,26.8,0,overnight,2
0.34,55.5,28.0,24.3,0,overnight,0
0.44,27.5,35.0,42.6,0,overnight,21
2.22,209.3,3.47,121.4,0,normal,13
0.69,27.9,12.0,21.9,0,dwell,17
0.92,59.0,6.0,31.2,0,dwell,17
0.4,58.8,39.0,18.1,0,overnight,12
0.12,5.1,8.0,153.0,0,dwell,15
0.25,9.2,35.0,34.3,0,overnight,0
27.34,2348.1,3.62,60.3,0,normal,16
0.29,14.3,38.0,6.4,0,overnight,10
0.09,20.7,32.0,31.8,0,overnight,9
1.0,14.6,14.0,117.8,0,dwell,20
0.32,42.3,23.0,33.6,0,overnight,17
0.34,33.4,33.0,7.0,0,overnight,3
7.04,297.8,6.48,126.9,0,normal,19
0.02,22.4,46.0,108.3,1,prolonged_inactivity,13
0.08,60.6,23.0,45.0,0,overnight,19
0.01,47.1,30.0,29.4,0,overnight,5
3.78,185.0,52.3,186.2,1,normal,13
2.6,67.9,3.13,44.1,0,normal,14
1.09,108.0,13.74,280.4,0,synthetic_normal,9
0.24,53.4,31.0,24.6,0,overnight,16
0.43,24.6,6.61,307.2,0,synthetic_normal,7
0.24,4.1,24.0,3.8,0,overnight,8
0.12,37.6,10.0,118.2,0,dwell,4
0.48,44.0,35.0,37.0,0,overnight,1
0.01,70.0,25.0,5.3,0,overnight,6
0.03,52.0,24.0,25.0,0,overnight,4
0.17,53.8,6.0,45.0,0,dwell,15
0.57,0.0,99.23,703.2,1,prolonged_inactivity,5
0.46,45.8,33.0,35.5,0,overnight,7
5.73,247.6,4.85,93.9,0,normal,4
0.09,30.2,39.0,45.7,0,overnight,9
4.32,284.6,6.22,0.0,0,synthetic_normal,17
0.48,72.7,40.0,41.6,0,overnight,8
32.21,12991.0,2.59,5389.4,1,sudden_jump,5
0.23,45.7,28.0,36.6,0,overnight,0
0.45,53.5,36.0,25.4,0,overnight,21
0.7,199.7,36.63,421.2,0,synthetic_normal,13
0.37,12.4,12.0,29.4,0,dwell,4
23.07,592.1,0.0,16425.8,1,route_abandonment,11
0.36,68.8,28.0,35.8,0,overnight,23
0.27,75.7,39.0,35.9,0,overnight,7
0.35,55.6,25.0,36.9,0,overnight,20
0.29,63.5,26.0,25.8,0,overnight,5
0.4,12.5,13.0,33.9,0,dwell,5
0.13,33.4,24.0,10.1,0,overnight,9
0.44,61.1,24.0,38.3,0,overnight,18
0.4,48.6,26.0,43.0,0,overnight,8
4.61,199.3,50.02,230.6,1,normal,13
0.45,25.9,34.0,31.5,0,overnight,10
0.43,51.0,31.0,39.6,0,overnight,3
0.03,69.6,34.0,44.2,0,overnight,2
0.16,47.3,26.0,38.6,0,overnight,16
0.52,12.9,11.0,53.5,0,dwell,4
0.08,29.8,30.0,30.5,0,overnight,6
5.99,105.7,57.25,109.9,1,normal,13
142.27,4520.5,3.71,2819.5,1,abduction_speed,1
0.12,71.7,31.0,48.6,0,overnight,20
1.4,21.2,14.0,74.5,0,dwell,14
0.15,11.1,25.0,27.2,0,overnight,18
0.05,5.1,6.0,134.2,0,dwell,19
0.3,23.2,31.0,43.2,0,overnight,22
0.29,65.2,33.0,36.8,0,overnight,12
204.48,7139.6,1.23,2394.8,1,abduction_speed,19
0.99,31.8,32.19,312.4,0,synthetic_normal,3
0.05,61.4,36.0,27.4,0,overnight,9
1.06,31.3,9.0,56.6,0,dwell,8
4.22,3615.7,11.94,9012.8,1,route_abandonment,3
0.18,14.5,33.0,22.0,0,overnight,6
0.53,107.2,29.31,453.5,0,synthetic_normal,19
0.19,56.1,6.0,142.9,0,dwell,17
0.12,43.3,34.0,9.1,0,overnight,4
3.84,244.6,3.98,16.4,0,normal,4
0.45,88.1,29.0,38.0,0,overnight,12
