id,tourist_id,type,severity,status,description,lat,lng,assigned_unit_id,detected_at,acknowledged_at,dispatched_at,resolved_at
29,10,anomaly,high,resolved,AI anomaly: prolonged inactivity 200 min,26.105476,91.58678,14,2026-08-29 10:08:32,2026-08-29 10:11:00,2026-08-29 10:12:20,2026-08-29 10:29:41
30,10,anomaly,high,acknowledged,AI anomaly: prolonged inactivity 182 min,26.57805,93.172919,,2026-08-31 09:58:29,2026-08-31 10:01:44,,
31,10,geofence,critical,resolved,Restricted-zone entry: Kaziranga Core Zone,26.57805,93.172919,16,2026-08-31 09:58:29,2026-08-31 10:00:56,2026-08-31 10:03:08,2026-08-31 10:17:43
32,10,anomaly,high,dispatched,AI anomaly: prolonged inactivity 442 min,25.67632,94.108067,13,2026-09-01 13:53:05,2026-09-01 13:54:55,2026-09-01 14:04:17,
33,10,anomaly,high,resolved,AI anomaly: prolonged inactivity 342 min,23.72925,92.717924,15,2026-09-03 12:19:19,2026-09-03 12:21:43,2026-09-03 12:24:45,2026-09-03 14:20:57
34,10,anomaly,high,resolved,AI anomaly: prolonged inactivity 68 min,23.72809,92.718075,12,2026-09-04 08:03:13,2026-09-04 08:03:52,2026-09-04 08:06:33,2026-09-04 08:14:36
35,10,anomaly,high,resolved,AI anomaly: prolonged inactivity 245 min,23.831775,91.287614,22,2026-09-05 10:55:22,2026-09-05 10:57:38,2026-09-05 11:02:18,2026-09-05 11:17:54
36,11,anomaly,high,detected,AI anomaly: prolonged inactivity 53 min,26.187343,91.751441,,2026-08-08 07:36:58,,,
37,11,anomaly,high,resolved,AI anomaly: prolonged inactivity 58 min,26.187058,91.755281,16,2026-08-09 07:51:58,2026-08-09 08:07:28,2026-08-09 08:10:02,2026-08-09 08:37:54
38,11,geofence,critical,acknowledged,Restricted-zone entry: Riverside Restricted Area,26.185096,91.762057,,2026-08-09 08:09:42,2026-08-09 08:10:07,,
39,11,anomaly,high,resolved,AI anomaly: prolonged inactivity 70 min,26.186765,91.748364,20,2026-08-10 07:56:41,2026-08-10 07:59:48,2026-08-10 08:03:02,2026-08-10 08:13:41
40,12,anomaly,high,resolved,AI anomaly: prolonged inactivity 238 min,26.231775,92.085093,22,2026-09-04 10:54:27,2026-09-04 10:55:03,2026-09-04 11:00:34,2026-09-04 12:00:52
41,12,anomaly,high,resolved,AI anomaly: prolonged inactivity 337 min,25.935382,91.432018,22,2026-09-05 12:24:51,2026-09-05 12:26:02,2026-09-05 12:27:12,2026-09-05 12:34:10
42,13,anomaly,high,dispatched,AI anomaly: prolonged inactivity 189 min,25.58077,91.892386,20,2026-08-14 09:43:45,2026-08-14 09:44:27,2026-08-14 09:46:23,
43,13,anomaly,high,resolved,AI anomaly: prolonged inactivity 454 min,26.104993,91.585999,15,2026-08-16 14:29:15,2026-08-16 14:29:57,2026-08-16 14:35:00,2026-08-16 15:36:11
44,13,anomaly,high,resolved,AI anomaly: prolonged inactivity 66 min,26.105569,91.585685,19,2026-08-17 07:36:42,2026-08-17 07:39:26,2026-08-17 07:41:04,2026-08-17 08:44:01
45,13,anomaly,high,dispatched,AI anomaly: prolonged inactivity 217 min,26.576368,93.17137,7,2026-08-18 10:18:46,2026-08-18 10:25:49,2026-08-18 10:27:57,
46,13,geofence,critical,resolved,Restricted-zone entry: Kaziranga Core Zone,26.577335,93.170025,8,2026-08-18 10:28:37,2026-08-18 10:30:09,2026-08-18 10:32:42,2026-08-18 10:42:34
47,13,anomaly,high,resolved,AI anomaly: prolonged inactivity 313 min,25.673645,94.110142,14,2026-08-20 11:49:49,2026-08-20 11:50:24,2026-08-20 11:53:58,2026-08-20 12:17:25
48,13,anomaly,high,dispatched,AI anomaly: prolonged inactivity 67 min,25.674422,94.108895,1,2026-08-21 08:00:13,2026-08-21 08:01:02,2026-08-21 08:04:35,
49,13,anomaly,high,resolved,AI anomaly: prolonged inactivity 54 min,25.67361,94.109653,12,2026-08-22 07:38:03,2026-08-22 07:38:46,2026-08-22 07:45:08,2026-08-22 07:57:12
50,13,anomaly,high,dispatched,AI anomaly: prolonged inactivity 179 min,24.81729,93.935838,11,2026-08-23 09:49:38,2026-08-23 09:51:59,2026-08-23 09:55:04,
51,13,anomaly,high,resolved,AI anomaly: prolonged inactivity 368 min,23.833251,91.286413,4,2026-08-25 13:09:59,2026-08-25 13:10:22,2026-08-25 13:10:42,2026-08-25 13:16:51
52,13,anomaly,high,resolved,AI anomaly: prolonged inactivity 71 min,23.832832,91.286632,14,2026-08-26 07:48:27,2026-08-26 07:51:07,2026-08-26 07:58:12,2026-08-26 08:02:25
53,14,anomaly,high,resolved,AI anomaly: prolonged inactivity 60 min,26.63289,92.801251,17,2026-09-01 07:35:12,2026-09-01 07:37:20,2026-09-01 07:42:44,2026-09-01 09:00:47
54,14,anomaly,high,resolved,AI anomaly: prolonged inactivity 141 min,26.18398,91.750561,11,2026-09-02 09:09:48,2026-09-02 09:10:59,2026-09-02 09:12:39,2026-09-02 09:50:18
55,14,anomaly,high,dispatched,AI anomaly: prolonged inactivity 228 min,27.544487,93.83298,19,2026-09-04 10:28:27,2026-09-04 10:29:40,2026-09-04 10:33:42,
56,14,anomaly,high,resolved,AI anomaly: prolonged inactivity 79 min,27.5445,93.833233,22,2026-09-05 07:55:49,2026-09-05 07:57:28,2026-09-05 07:58:11,2026-09-05 08:05:36
57,15,anomaly,high,resolved,AI anomaly: prolonged inactivity 188 min,26.095213,91.606281,8,2026-08-31 09:55:15,2026-08-31 09:55:45,2026-08-31 10:02:56,2026-08-31 10:06:55
58,15,anomaly,high,acknowledged,AI anomaly: prolonged inactivity 430 min,25.935209,91.430768,,2026-09-01 14:02:11,2026-09-01 14:04:00,,
59,16,anomaly,high,resolved,AI anomaly: prolonged inactivity 58 min,25.676342,94.107028,10,2026-07-26 07:40:59,2026-07-26 07:43:13,2026-07-26 07:46:32,2026-07-26 07:51:10
60,16,anomaly,high,resolved,AI anomaly: prolonged inactivity 57 min,25.675884,94.106777,14,2026-07-27 07:50:09,2026-07-27 08:09:34,2026-07-27 08:11:32,2026-07-27 08:17:21
61,16,anomaly,high,resolved,AI anomaly: prolonged inactivity 234 min,25.577935,91.893836,2,2026-07-28 10:48:25,2026-07-28 10:50:40,2026-07-28 10:51:35,2026-07-28 11:22:40
62,16,anomaly,high,resolved,AI anomaly: prolonged inactivity 75 min,25.577774,91.893834,12,2026-07-29 07:56:51,2026-07-29 07:58:07,2026-07-29 07:58:26,2026-07-29 08:08:12
63,16,anomaly,high,resolved,AI anomaly: prolonged inactivity 379 min,26.105683,91.586475,20,2026-07-31 12:59:11,2026-07-31 12:59:58,2026-07-31 13:02:04,2026-07-31 13:20:06
64,16,anomaly,high,resolved,AI anomaly: prolonged inactivity 183 min,23.833257,91.288224,6,2026-08-03 09:58:40,2026-08-03 10:00:36,2026-08-03 10:01:44,2026-08-03 10:20:53
65,16,anomaly,high,dispatched,AI anomaly: prolonged inactivity 384 min,23.728798,92.716238,2,2026-08-06 13:15:36,2026-08-06 13:16:25,2026-08-06 13:17:06,
66,16,anomaly,high,resolved,AI anomaly: prolonged inactivity 60 min,23.72946,92.716768,8,2026-08-07 07:37:31,2026-08-07 07:38:21,2026-08-07 07:49:23,2026-08-07 08:59:33
67,17,anomaly,high,detected,AI anomaly: prolonged inactivity 82 min,27.331046,88.615137,,2026-08-03 07:57:34,,,
68,17,anomaly,high,resolved,AI anomaly: prolonged inactivity 56 min,27.331102,88.615151,2,2026-08-06 07:46:20,2026-08-06 07:46:36,2026-08-06 08:06:06,2026-08-06 08:17:01
69,17,anomaly,high,resolved,AI anomaly: prolonged inactivity 461 min,23.830193,91.287586,12,2026-08-08 14:41:50,2026-08-08 14:44:27,2026-08-08 14:52:59,2026-08-08 15:24:06
70,17,anomaly,high,resolved,AI anomaly: prolonged inactivity 73 min,23.831233,91.286612,5,2026-08-09 07:54:22,2026-08-09 07:58:55,2026-08-09 08:06:24,2026-08-09 08:15:50
71,17,anomaly,high,resolved,AI anomaly: prolonged inactivity 67 min,23.830388,91.287928,9,2026-08-10 07:36:42,2026-08-10 07:39:26,2026-08-10 07:54:11,2026-08-10 07:59:01
72,17,anomaly,high,resolved,AI anomaly: prolonged inactivity 73 min,23.83047,91.287616,9,2026-08-11 07:46:36,2026-08-11 07:47:15,2026-08-11 07:49:13,2026-08-11 08:02:37
73,17,anomaly,high,dispatched,AI anomaly: prolonged inactivity 47 min,23.829723,91.287707,22,2026-08-12 07:19:31,2026-08-12 07:19:54,2026-08-12 07:24:11,
74,17,anomaly,high,acknowledged,AI anomaly: prolonged inactivity 231 min,23.726012,92.717707,,2026-08-14 10:46:42,2026-08-14 10:47:29,,
75,17,anomaly,high,resolved,AI anomaly: prolonged inactivity 61 min,23.726402,92.717306,21,2026-08-15 07:46:02,2026-08-15 07:47:03,2026-08-15 07:47:58,2026-08-15 07:55:17
76,17,anomaly,high,resolved,AI anomaly: prolonged inactivity 53 min,23.725636,92.71732,12,2026-08-16 07:31:20,2026-08-16 07:32:50,2026-08-16 07:37:28,2026-08-16 07:39:23
77,17,anomaly,high,dispatched,AI anomaly: prolonged inactivity 62 min,23.725451,92.717005,14,2026-08-17 07:44:06,2026-08-17 07:44:43,2026-08-17 07:47:10,
78,17,anomaly,high,resolved,AI anomaly: prolonged inactivity 64 min,23.726167,92.717935,9,2026-08-18 08:00:23,2026-08-18 08:01:07,2026-08-18 08:03:41,2026-08-18 10:47:17
79,18,geofence,critical,dispatched,Restricted-zone entry: Kaziranga Core Zone,26.577535,93.171915,11,2026-09-01 07:24:04,2026-09-01 07:26:23,2026-09-01 07:27:27,
80,18,anomaly,high,resolved,AI anomaly: prolonged inactivity 375 min,26.106466,91.586315,14,2026-09-02 12:54:12,2026-09-02 12:55:04,2026-09-02 12:57:21,2026-09-02 13:26:41
81,18,anomaly,high,resolved,AI anomaly: prolonged inactivity 383 min,25.5794,91.894443,12,2026-09-03 12:59:31,2026-09-03 13:01:58,2026-09-03 13:04:01,2026-09-03 13:30:59
82,18,anomaly,high,acknowledged,AI anomaly: prolonged inactivity 496 min,23.830653,91.288485,,2026-09-04 15:02:10,2026-09-04 15:03:24,,
83,18,anomaly,high,resolved,AI anomaly: prolonged inactivity 265 min,23.728154,92.716597,13,2026-09-05 11:14:47,2026-09-05 11:16:45,2026-09-05 11:17:33,2026-09-05 11:30:59
84,19,anomaly,high,resolved,AI anomaly: prolonged inactivity 55 min,26.189548,91.755799,22,2026-08-07 07:42:57,2026-08-07 07:44:55,2026-08-07 07:46:16,2026-08-07 07:52:04
85,19,anomaly,high,resolved,AI anomaly: prolonged inactivity 47 min,26.18925,91.755285,5,2026-08-08 07:40:13,2026-08-08 07:42:44,2026-08-08 07:44:32,2026-08-08 08:05:44
86,21,anomaly,high,resolved,AI anomaly: prolonged inactivity 341 min,24.818044,93.936732,20,2026-09-05 12:31:21,2026-09-05 12:31:37,2026-09-05 12:32:23,2026-09-05 13:01:29
87,22,geofence,critical,dispatched,Restricted-zone entry: Riverside Restricted Area,26.185625,91.763103,18,2026-08-04 10:11:20,2026-08-04 10:12:56,2026-08-04 10:14:51,
88,22,anomaly,high,dispatched,AI anomaly: prolonged inactivity 88 min,26.194051,91.748015,20,2026-08-05 08:01:24,2026-08-05 08:02:21,2026-08-05 08:03:31,
89,23,geofence,critical,resolved,Restricted-zone entry: Riverside Restricted Area,26.185624,91.763083,10,2026-08-09 07:32:53,2026-08-09 07:33:35,2026-08-09 07:37:59,2026-08-09 07:50:34
90,23,anomaly,high,resolved,AI anomaly: prolonged inactivity 52 min,26.180666,91.743414,21,2026-08-10 07:39:52,2026-08-10 07:41:08,2026-08-10 07:49:50,2026-08-10 08:40:40
91,24,geofence,critical,resolved,Restricted-zone entry: Dawki Border Belt,25.190828,92.019704,21,2026-08-03 08:20:06,2026-08-03 08:20:40,2026-08-03 08:23:36,2026-08-03 08:41:17
92,24,anomaly,high,resolved,AI anomaly: prolonged inactivity 456 min,25.255757,91.70633,19,2026-08-05 14:23:18,2026-08-05 14:24:09,2026-08-05 14:25:35,2026-08-05 14:49:36
93,24,anomaly,high,resolved,AI anomaly: prolonged inactivity 60 min,25.255767,91.705672,8,2026-08-06 07:34:19,2026-08-06 07:35:56,2026-08-06 07:44:52,2026-08-06 07:57:46
94,24,geofence,critical,detected,Restricted-zone entry: Cherrapunji Cliff Edge,25.278038,91.68773,,2026-08-06 09:27:11,,,
95,24,anomaly,high,resolved,AI anomaly: prolonged inactivity 335 min,25.656209,91.889444,9,2026-08-07 12:17:14,2026-08-07 12:19:31,2026-08-07 12:21:07,2026-08-07 13:02:26
96,24,anomaly,high,resolved,AI anomaly: prolonged inactivity 209 min,26.183162,91.753315,11,2026-08-09 10:21:36,2026-08-09 10:22:27,2026-08-09 10:25:02,2026-08-09 10:46:21
97,24,anomaly,high,resolved,AI anomaly: prolonged inactivity 63 min,26.182983,91.752492,18,2026-08-10 07:50:24,2026-08-10 08:00:29,2026-08-10 08:05:33,2026-08-10 08:22:19
98,25,anomaly,high,resolved,AI anomaly: prolonged inactivity 48 min,26.173561,91.760377,2,2026-08-11 07:36:23,2026-08-11 07:37:29,2026-08-11 07:43:21,2026-08-11 08:25:30
99,25,anomaly,high,resolved,AI anomaly: prolonged inactivity 361 min,26.121014,91.820761,5,2026-08-12 12:33:34,2026-08-12 12:37:58,2026-08-12 12:46:21,2026-08-12 13:06:42
100,25,anomaly,high,resolved,AI anomaly: prolonged inactivity 73 min,26.366473,91.631279,12,2026-08-13 07:55:48,2026-08-13 08:01:17,2026-08-13 08:02:22,2026-08-13 08:16:11
101,27,anomaly,high,resolved,AI anomaly: prolonged inactivity 56 min,27.587641,91.859848,13,2026-07-25 07:52:53,2026-07-25 07:55:07,2026-07-25 07:57:21,2026-07-25 09:26:09
102,27,anomaly,high,resolved,AI anomaly: prolonged inactivity 74 min,27.587571,91.859973,22,2026-07-26 07:48:42,2026-07-26 07:56:03,2026-07-26 07:56:47,2026-07-26 08:10:59
103,27,anomaly,high,dispatched,AI anomaly: prolonged inactivity 233 min,26.635168,92.802257,17,2026-07-28 10:30:08,2026-07-28 10:32:42,2026-07-28 10:33:30,
104,27,anomaly,high,resolved,AI anomaly: prolonged inactivity 54 min,26.63485,92.802041,9,2026-07-29 07:37:07,2026-07-29 07:37:45,2026-07-29 07:38:57,2026-07-29 07:43:44
105,27,anomaly,high,resolved,AI anomaly: prolonged inactivity 51 min,26.634529,92.80107,7,2026-07-30 07:52:18,2026-07-30 07:53:17,2026-07-30 07:53:45,2026-07-30 08:18:42
106,27,anomaly,high,resolved,AI anomaly: prolonged inactivity 226 min,26.184511,91.752353,11,2026-07-31 10:28:50,2026-07-31 10:29:34,2026-07-31 10:29:54,2026-07-31 10:47:42
107,27,anomaly,high,resolved,AI anomaly: prolonged inactivity 57 min,26.18319,91.752348,14,2026-08-01 07:57:53,2026-08-01 08:00:36,2026-08-01 08:06:55,2026-08-01 08:10:07
108,27,anomaly,high,resolved,AI anomaly: prolonged inactivity 69 min,26.184288,91.751637,20,2026-08-02 07:59:52,2026-08-02 08:01:23,2026-08-02 08:03:34,2026-08-02 08:10:10
109,27,anomaly,high,resolved,AI anomaly: prolonged inactivity 263 min,27.545355,93.830387,8,2026-08-03 11:28:49,2026-08-03 11:29:45,2026-08-03 11:30:51,2026-08-03 11:51:20
110,27,anomaly,high,resolved,AI anomaly: prolonged inactivity 52 min,27.545322,93.83099,19,2026-08-04 07:40:09,2026-08-04 07:42:56,2026-08-04 07:46:57,2026-08-04 08:19:56
111,28,anomaly,high,acknowledged,AI anomaly: prolonged inactivity 53 min,26.166818,91.769908,,2026-08-02 07:41:56,2026-08-02 07:43:04,,
112,28,anomaly,high,detected,AI anomaly: prolonged inactivity 389 min,26.249341,91.51699,,2026-08-03 13:18:47,,,
113,28,anomaly,high,resolved,AI anomaly: prolonged inactivity 171 min,26.365609,91.63393,17,2026-08-04 09:33:41,2026-08-04 09:39:15,2026-08-04 09:41:54,2026-08-04 10:04:03
114,29,geofence,critical,resolved,Restricted-zone entry: Deepor Beel Wetland Edge,26.120233,91.650074,18,2026-08-20 08:13:22,2026-08-20 08:14:23,2026-08-20 08:17:17,2026-08-20 08:25:06
115,29,anomaly,high,resolved,AI anomaly: prolonged inactivity 270 min,25.932431,91.433115,22,2026-08-21 11:34:48,2026-08-21 11:36:20,2026-08-21 11:45:40,2026-08-21 11:54:12
116,29,anomaly,high,resolved,AI anomaly: prolonged inactivity 228 min,26.234229,92.084276,15,2026-08-22 10:20:16,2026-08-22 10:27:10,2026-08-22 10:29:39,2026-08-22 10:37:47
117,30,anomaly,high,resolved,AI anomaly: prolonged inactivity 66 min,25.577331,91.894938,5,2026-07-24 07:48:42,2026-07-24 07:49:53,2026-07-24 07:56:18,2026-07-24 09:27:14
118,30,anomaly,high,resolved,AI anomaly: prolonged inactivity 55 min,25.576977,91.894567,12,2026-07-25 07:46:24,2026-07-25 07:47:14,2026-07-25 07:50:59,2026-07-25 08:55:12
119,30,anomaly,high,resolved,AI anomaly: prolonged inactivity 174 min,26.105531,91.583507,3,2026-07-26 09:31:31,2026-07-26 09:36:57,2026-07-26 09:41:38,2026-07-26 09:50:15
120,30,anomaly,high,dispatched,AI anomaly: prolonged inactivity 235 min,23.830301,91.287559,6,2026-07-28 10:45:05,2026-07-28 10:56:28,2026-07-28 10:57:35,
121,30,anomaly,high,resolved,AI anomaly: prolonged inactivity 49 min,23.829835,91.28686,17,2026-07-30 07:37:10,2026-07-30 07:38:28,2026-07-30 07:39:49,2026-07-30 07:47:24
122,30,anomaly,high,dispatched,AI anomaly: prolonged inactivity 255 min,25.673271,94.109258,7,2026-07-31 11:16:34,2026-07-31 11:17:38,2026-07-31 11:19:57,
123,30,anomaly,high,resolved,AI anomaly: prolonged inactivity 336 min,27.329956,88.615246,5,2026-08-02 12:42:23,2026-08-02 12:43:21,2026-08-02 12:46:56,2026-08-02 12:56:49
124,31,anomaly,high,resolved,AI anomaly: prolonged inactivity 74 min,26.183841,91.752368,6,2026-08-02 08:00:44,2026-08-02 08:02:08,2026-08-02 08:03:01,2026-08-02 08:25:40
125,31,anomaly,high,dispatched,AI anomaly: prolonged inactivity 64 min,26.184169,91.751993,3,2026-08-03 07:51:56,2026-08-03 07:53:41,2026-08-03 07:57:01,
126,31,anomaly,high,resolved,AI anomaly: abnormal speed 204 km/h (possible vehicle abduction),26.663605,92.741869,17,2026-08-04 14:41:33,2026-08-04 14:43:12,2026-08-04 14:43:49,2026-08-04 14:50:41
127,31,anomaly,high,resolved,AI anomaly: prolonged inactivity 275 min,27.584655,91.857051,8,2026-08-07 11:37:10,2026-08-07 11:39:57,2026-08-07 11:40:58,2026-08-07 11:43:57
128,31,anomaly,high,resolved,AI anomaly: prolonged inactivity 82 min,27.583585,91.857574,17,2026-08-09 08:03:18,2026-08-09 08:05:00,2026-08-09 08:07:33,2026-08-09 08:11:31
129,31,anomaly,high,resolved,AI anomaly: prolonged inactivity 425 min,27.544867,93.83184,11,2026-08-10 14:00:21,2026-08-10 14:03:55,2026-08-10 14:14:12,2026-08-10 15:08:42
130,32,anomaly,high,resolved,AI anomaly: prolonged inactivity 195 min,24.814683,93.937348,7,2026-07-30 10:01:40,2026-07-30 10:02:55,2026-07-30 10:05:14,2026-07-30 10:15:31
131,32,anomaly,high,dispatched,AI anomaly: prolonged inactivity 77 min,24.815132,93.937278,13,2026-07-31 07:48:41,2026-07-31 07:51:16,2026-07-31 07:51:58,
132,32,anomaly,high,dispatched,AI anomaly: prolonged inactivity 317 min,26.575522,93.171726,12,2026-08-02 11:49:49,2026-08-02 11:50:02,2026-08-02 11:51:44,
133,32,geofence,critical,resolved,Restricted-zone entry: Kaziranga Core Zone,26.578172,93.171902,5,2026-08-02 11:56:45,2026-08-02 11:59:19,2026-08-02 11:59:28,2026-08-02 12:07:00
134,32,anomaly,high,resolved,AI anomaly: prolonged inactivity 55 min,26.575654,93.17221,13,2026-08-03 07:41:30,2026-08-03 07:46:26,2026-08-03 07:49:15,2026-08-03 07:54:27
135,32,anomaly,high,dispatched,AI anomaly: prolonged inactivity 62 min,26.575313,93.17169,1,2026-08-04 07:40:33,2026-08-04 07:41:20,2026-08-04 07:43:36,
136,32,anomaly,high,resolved,AI anomaly: prolonged inactivity 62 min,26.575726,93.171479,21,2026-08-05 07:37:13,2026-08-05 07:37:58,2026-08-05 07:38:42,2026-08-05 07:45:38
137,32,anomaly,high,resolved,AI anomaly: prolonged inactivity 238 min,26.107675,91.587317,8,2026-08-06 10:30:14,2026-08-06 10:30:56,2026-08-06 10:32:02,2026-08-06 11:16:35
138,32,anomaly,high,resolved,AI anomaly: prolonged inactivity 51 min,26.106356,91.58699,19,2026-08-07 07:53:40,2026-08-07 07:54:17,2026-08-07 07:55:01,2026-08-07 08:02:14
139,32,anomaly,high,dispatched,AI anomaly: prolonged inactivity 53 min,26.107089,91.586927,11,2026-08-08 07:57:31,2026-08-08 07:58:57,2026-08-08 08:06:20,
140,32,anomaly,high,resolved,AI anomaly: prolonged inactivity 319 min,25.580281,91.894295,4,2026-08-09 12:00:06,2026-08-09 12:05:50,2026-08-09 12:07:03,2026-08-09 12:41:24
141,32,anomaly,high,acknowledged,AI anomaly: prolonged inactivity 49 min,25.581029,91.894842,,2026-08-10 07:40:38,2026-08-10 07:44:33,,
142,34,anomaly,high,resolved,AI anomaly: prolonged inactivity 51 min,26.635039,92.8015,9,2026-07-29 07:37:12,2026-07-29 07:38:39,2026-07-29 07:41:15,2026-07-29 07:52:32
143,34,anomaly,high,dispatched,AI anomaly: prolonged inactivity 129 min,26.92121,92.879063,16,2026-07-31 09:08:58,2026-07-31 09:09:53,2026-07-31 09:16:30,
144,34,anomaly,high,resolved,AI anomaly: prolonged inactivity 49 min,26.921376,92.880148,13,2026-08-01 07:37:53,2026-08-01 07:38:51,2026-08-01 07:42:57,2026-08-01 08:15:07
145,34,anomaly,high,resolved,AI anomaly: prolonged inactivity 52 min,26.92029,92.87954,20,2026-08-02 07:27:07,2026-08-02 07:27:21,2026-08-02 07:27:50,2026-08-02 07:33:04
146,34,anomaly,high,resolved,AI anomaly: prolonged inactivity 303 min,26.104531,91.583565,7,2026-08-03 11:50:22,2026-08-03 11:51:27,2026-08-03 11:54:22,2026-08-03 12:25:08
147,34,sos,critical,resolved,"SOS triggered by Gitanjali Verma: Lost in the forest trail, no landmarks visible, running out of water.",26.104079,91.582343,2,2026-08-03 13:47:32,2026-08-03 13:48:55,2026-08-03 13:50:02,2026-08-03 13:58:43
