id,incident_id,status,note,timestamp
26,8,detected,Restricted-zone entry: Cherrapunji Cliff Edge,2026-09-05 13:56:10
27,8,acknowledged,Acknowledged by control room,2026-09-05 13:58:27
28,8,dispatched,Auto-dispatched to Unit Golf-1 (Pragjyotishpur Police Station),2026-09-05 13:59:41
29,8,resolved,Medical assistance provided on site,2026-09-05 14:24:05
30,9,detected,AI anomaly: prolonged inactivity 496 min,2026-08-24 14:49:26
31,9,acknowledged,Acknowledged by control room,2026-08-24 14:52:11
32,9,dispatched,Auto-dispatched to Unit Delta-2 (Fatasil Ambari Police Station),2026-08-24 14:54:26
33,10,detected,AI anomaly: prolonged inactivity 70 min,2026-08-25 07:54:56
34,10,acknowledged,Acknowledged by control room,2026-08-25 07:56:59
35,10,dispatched,Auto-dispatched to Unit Echo-2 (Azara Police Station),2026-08-25 07:58:08
36,10,resolved,Tourist located and confirmed safe,2026-08-25 08:08:44
37,11,detected,Restricted-zone entry: Cherrapunji Cliff Edge,2026-08-17 07:22:56
38,11,acknowledged,Acknowledged by control room,2026-08-17 07:25:30
39,11,dispatched,Auto-dispatched to Unit Bravo-1 (Panbazar Police Station),2026-08-17 07:31:34
40,11,resolved,Handed over to the tourist's emergency contact,2026-08-17 08:15:52
41,12,detected,AI anomaly: prolonged inactivity 57 min,2026-08-18 07:35:53
42,12,acknowledged,Acknowledged by control room,2026-08-18 07:36:22
43,12,dispatched,Auto-dispatched to Unit Golf-1 (Pragjyotishpur Police Station),2026-08-18 07:37:06
44,13,detected,AI anomaly: prolonged inactivity 162 min,2026-08-19 09:36:29
45,13,acknowledged,Acknowledged by control room,2026-08-19 09:39:33
46,13,dispatched,Auto-dispatched to Unit Charlie-1 (Chandmari Police Station),2026-08-19 09:40:04
47,13,resolved,"Escorted out of restricted area, advisory issued",2026-08-19 10:13:42
48,14,detected,AI anomaly: prolonged inactivity 53 min,2026-08-20 07:46:05
49,14,acknowledged,Acknowledged by control room,2026-08-20 07:48:39
50,14,dispatched,Auto-dispatched to Unit Bravo-3 (Latasil Police Station),2026-08-20 08:01:50
51,14,resolved,Tourist located and confirmed safe,2026-08-20 08:07:40
52,15,detected,AI anomaly: prolonged inactivity 431 min,2026-08-21 13:50:17
53,15,acknowledged,Acknowledged by control room,2026-08-21 13:51:19
54,15,dispatched,Auto-dispatched to Unit Charlie-2 (Geetanagar Police Station),2026-08-21 13:52:39
55,15,resolved,"Escorted out of restricted area, advisory issued",2026-08-21 14:34:03
56,16,detected,AI anomaly: prolonged inactivity 52 min,2026-08-22 07:32:18
57,16,acknowledged,Acknowledged by control room,2026-08-22 07:33:17
58,17,detected,AI anomaly: prolonged inactivity 356 min,2026-08-23 12:52:52
59,17,acknowledged,Acknowledged by control room,2026-08-23 12:56:37
60,18,detected,AI anomaly: prolonged inactivity 249 min,2026-09-03 10:43:36
61,18,acknowledged,Acknowledged by control room,2026-09-03 10:44:32
62,18,dispatched,Auto-dispatched to Unit Delta-3 (Jalukbari Police Station),2026-09-03 10:47:09
63,19,detected,AI anomaly: prolonged inactivity 285 min,2026-09-04 11:29:28
64,19,acknowledged,Acknowledged by control room,2026-09-04 11:32:09
65,19,dispatched,Auto-dispatched to Unit Foxtrot-3 (Satgaon Police Station),2026-09-04 11:34:11
66,20,detected,Restricted-zone entry: Kaziranga Core Zone,2026-09-04 11:29:28
67,20,acknowledged,Acknowledged by control room,2026-09-04 11:30:18
68,20,dispatched,"Auto-dispatched to Unit India-1 (Tourist Assistance Post, Kamakhya)",2026-09-04 11:31:51
69,20,resolved,Tourist located and confirmed safe,2026-09-04 11:50:44
70,21,detected,AI anomaly: prolonged inactivity 209 min,2026-09-05 10:07:03
71,22,detected,AI anomaly: prolonged inactivity 297 min,2026-08-18 11:35:20
72,22,acknowledged,Acknowledged by control room,2026-08-18 11:35:59
73,22,dispatched,Auto-dispatched to Unit Bravo-3 (Latasil Police Station),2026-08-18 11:38:27
74,22,resolved,False positive - tourist confirmed movement by phone,2026-08-18 11:43:45
75,23,detected,AI anomaly: sudden location jump 6.2 km,2026-08-19 07:30:01
76,23,acknowledged,Acknowledged by control room,2026-08-19 07:31:49
77,23,dispatched,Auto-dispatched to Unit Golf-2 (North Guwahati Police Station),2026-08-19 07:36:58
78,23,resolved,"Escorted out of restricted area, advisory issued",2026-08-19 08:04:07
79,24,detected,AI anomaly: prolonged inactivity 341 min,2026-08-20 12:31:10
80,24,acknowledged,Acknowledged by control room,2026-08-20 12:33:56
81,24,dispatched,Auto-dispatched to Unit Delta-1 (Bharalumukh Police Station),2026-08-20 12:43:04
82,24,resolved,False positive - tourist confirmed movement by phone,2026-08-20 12:55:16
83,25,detected,Restricted-zone entry: Kaziranga Core Zone,2026-08-20 12:31:10
84,25,acknowledged,Acknowledged by control room,2026-08-20 12:33:14
85,25,dispatched,Auto-dispatched to Unit Alpha-1 (Dispur Police Station),2026-08-20 12:35:14
86,25,resolved,"Escorted out of restricted area, advisory issued",2026-08-20 12:52:44
87,26,detected,AI anomaly: prolonged inactivity 56 min,2026-08-21 07:32:31
88,26,acknowledged,Acknowledged by control room,2026-08-21 07:34:49
89,26,dispatched,Auto-dispatched to Unit Alpha-1 (Dispur Police Station),2026-08-21 07:36:00
90,26,resolved,Handed over to the tourist's emergency contact,2026-08-21 07:41:40
91,27,detected,AI anomaly: prolonged inactivity 395 min,2026-08-22 13:29:14
92,27,acknowledged,Acknowledged by control room,2026-08-22 13:30:19
93,27,dispatched,Auto-dispatched to Unit Hotel-2 (Khanapara Traffic Outpost),2026-08-22 13:35:33
94,28,detected,AI anomaly: prolonged inactivity 52 min,2026-08-28 07:34:09
95,29,detected,AI anomaly: prolonged inactivity 200 min,2026-08-29 10:08:32
96,29,acknowledged,Acknowledged by control room,2026-08-29 10:11:00
97,29,dispatched,Auto-dispatched to Unit Echo-3 (Airport Police Outpost),2026-08-29 10:12:20
98,29,resolved,"Escorted out of restricted area, advisory issued",2026-08-29 10:29:41
99,30,detected,AI anomaly: prolonged inactivity 182 min,2026-08-31 09:58:29
100,30,acknowledged,Acknowledged by control room,2026-08-31 10:01:44
101,31,detected,Restricted-zone entry: Kaziranga Core Zone,2026-08-31 09:58:29
102,31,acknowledged,Acknowledged by control room,2026-08-31 10:00:56
103,31,dispatched,Auto-dispatched to Unit Foxtrot-2 (Bhangagarh Police Station),2026-08-31 10:03:08
104,31,resolved,"Escorted out of restricted area, advisory issued",2026-08-31 10:17:43
105,32,detected,AI anomaly: prolonged inactivity 442 min,2026-09-01 13:53:05
106,32,acknowledged,Acknowledged by control room,2026-09-01 13:54:55
107,32,dispatched,Auto-dispatched to Unit Echo-2 (Azara Police Station),2026-09-01 14:04:17
108,33,detected,AI anomaly: prolonged inactivity 342 min,2026-09-03 12:19:19
109,33,acknowledged,Acknowledged by control room,2026-09-03 12:21:43
110,33,dispatched,Auto-dispatched to Unit Foxtrot-1 (Hatigaon Police Station),2026-09-03 12:24:45
111,33,resolved,"Recovered belongings, FIR registered at the local station",2026-09-03 14:20:57
112,34,detected,AI anomaly: prolonged inactivity 68 min,2026-09-04 08:03:13
113,34,acknowledged,Acknowledged by control room,2026-09-04 08:03:52
114,34,dispatched,Auto-dispatched to Unit Echo-1 (Gorchuk Police Station),2026-09-04 08:06:33
115,34,resolved,"Recovered belongings, FIR registered at the local station",2026-09-04 08:14:36
116,35,detected,AI anomaly: prolonged inactivity 245 min,2026-09-05 10:55:22
117,35,acknowledged,Acknowledged by control room,2026-09-05 10:57:38
118,35,dispatched,"Auto-dispatched to Unit India-1 (Tourist Assistance Post, Kamakhya)",2026-09-05 11:02:18
119,35,resolved,Tourist located and confirmed safe,2026-09-05 11:17:54
120,36,detected,AI anomaly: prolonged inactivity 53 min,2026-08-08 07:36:58
121,37,detected,AI anomaly: prolonged inactivity 58 min,2026-08-09 07:51:58
122,37,acknowledged,Acknowledged by control room,2026-08-09 08:07:28
123,37,dispatched,Auto-dispatched to Unit Foxtrot-2 (Bhangagarh Police Station),2026-08-09 08:10:02
124,37,resolved,"Recovered belongings, FIR registered at the local station",2026-08-09 08:37:54
125,38,detected,Restricted-zone entry: Riverside Restricted Area,2026-08-09 08:09:42
126,38,acknowledged,Acknowledged by control room,2026-08-09 08:10:07
127,39,detected,AI anomaly: prolonged inactivity 70 min,2026-08-10 07:56:41
128,39,acknowledged,Acknowledged by control room,2026-08-10 07:59:48
129,39,dispatched,"Auto-dispatched to Unit Hotel-1 (All Women Police Station, Panbazar)",2026-08-10 08:03:02
130,39,resolved,Handed over to the tourist's emergency contact,2026-08-10 08:13:41
131,40,detected,AI anomaly: prolonged inactivity 238 min,2026-09-04 10:54:27
132,40,acknowledged,Acknowledged by control room,2026-09-04 10:55:03
133,40,dispatched,"Auto-dispatched to Unit India-1 (Tourist Assistance Post, Kamakhya)",2026-09-04 11:00:34
134,40,resolved,False positive - tourist confirmed movement by phone,2026-09-04 12:00:52
135,41,detected,AI anomaly: prolonged inactivity 337 min,2026-09-05 12:24:51
136,41,acknowledged,Acknowledged by control room,2026-09-05 12:26:02
137,41,dispatched,"Auto-dispatched to Unit India-1 (Tourist Assistance Post, Kamakhya)",2026-09-05 12:27:12
138,41,resolved,"Recovered belongings, FIR registered at the local station",2026-09-05 12:34:10
139,42,detected,AI anomaly: prolonged inactivity 189 min,2026-08-14 09:43:45
140,42,acknowledged,Acknowledged by control room,2026-08-14 09:44:27
141,42,dispatched,"Auto-dispatched to Unit Hotel-1 (All Women Police Station, Panbazar)",2026-08-14 09:46:23
142,43,detected,AI anomaly: prolonged inactivity 454 min,2026-08-16 14:29:15
143,43,acknowledged,Acknowledged by control room,2026-08-16 14:29:57
144,43,dispatched,Auto-dispatched to Unit Foxtrot-1 (Hatigaon Police Station),2026-08-16 14:35:00
145,43,resolved,Tourist located and confirmed safe,2026-08-16 15:36:11
146,44,detected,AI anomaly: prolonged inactivity 66 min,2026-08-17 07:36:42
147,44,acknowledged,Acknowledged by control room,2026-08-17 07:39:26
148,44,dispatched,Auto-dispatched to Unit Golf-2 (North Guwahati Police Station),2026-08-17 07:41:04
149,44,resolved,"Recovered belongings, FIR registered at the local station",2026-08-17 08:44:01
150,45,detected,AI anomaly: prolonged inactivity 217 min,2026-08-18 10:18:46
151,45,acknowledged,Acknowledged by control room,2026-08-18 10:25:49
152,45,dispatched,Auto-dispatched to Unit Charlie-2 (Geetanagar Police Station),2026-08-18 10:27:57
153,46,detected,Restricted-zone entry: Kaziranga Core Zone,2026-08-18 10:28:37
154,46,acknowledged,Acknowledged by control room,2026-08-18 10:30:09
155,46,dispatched,Auto-dispatched to Unit Charlie-3 (Noonmati Police Station),2026-08-18 10:32:42
156,46,resolved,Tourist located and confirmed safe,2026-08-18 10:42:34
157,47,detected,AI anomaly: prolonged inactivity 313 min,2026-08-20 11:49:49
158,47,acknowledged,Acknowledged by control room,2026-08-20 11:50:24
159,47,dispatched,Auto-dispatched to Unit Echo-3 (Airport Police Outpost),2026-08-20 11:53:58
160,47,resolved,Tourist located and confirmed safe,2026-08-20 12:17:25
161,48,detected,AI anomaly: prolonged inactivity 67 min,2026-08-21 08:00:13
162,48,acknowledged,Acknowledged by control room,2026-08-21 08:01:02
163,48,dispatched,Auto-dispatched to Unit Alpha-1 (Dispur Police Station),2026-08-21 08:04:35
164,49,detected,AI anomaly: prolonged inactivity 54 min,2026-08-22 07:38:03
165,49,acknowledged,Acknowledged by control room,2026-08-22 07:38:46
166,49,dispatched,Auto-dispatched to Unit Echo-1 (Gorchuk Police Station),2026-08-22 07:45:08
167,49,resolved,Tourist located and confirmed safe,2026-08-22 07:57:12
168,50,detected,AI anomaly: prolonged inactivity 179 min,2026-08-23 09:49:38
169,50,acknowledged,Acknowledged by control room,2026-08-23 09:51:59
170,50,dispatched,Auto-dispatched to Unit Delta-3 (Jalukbari Police Station),2026-08-23 09:55:04
171,51,detected,AI anomaly: prolonged inactivity 368 min,2026-08-25 13:09:59
172,51,acknowledged,Acknowledged by control room,2026-08-25 13:10:22
173,51,dispatched,Auto-dispatched to Unit Bravo-2 (Paltan Bazar Police Station),2026-08-25 13:10:42
174,51,resolved,Medical assistance provided on site,2026-08-25 13:16:51
175,52,detected,AI anomaly: prolonged inactivity 71 min,2026-08-26 07:48:27
176,52,acknowledged,Acknowledged by control room,2026-08-26 07:51:07
177,52,dispatched,Auto-dispatched to Unit Echo-3 (Airport Police Outpost),2026-08-26 07:58:12
178,52,resolved,"Escorted out of restricted area, advisory issued",2026-08-26 08:02:25
179,53,detected,AI anomaly: prolonged inactivity 60 min,2026-09-01 07:35:12
180,53,acknowledged,Acknowledged by control room,2026-09-01 07:37:20
181,53,dispatched,Auto-dispatched to Unit Foxtrot-3 (Satgaon Police Station),2026-09-01 07:42:44
182,53,resolved,False positive - tourist confirmed movement by phone,2026-09-01 09:00:47
183,54,detected,AI anomaly: prolonged inactivity 141 min,2026-09-02 09:09:48
184,54,acknowledged,Acknowledged by control room,2026-09-02 09:10:59
185,54,dispatched,Auto-dispatched to Unit Delta-3 (Jalukbari Police Station),2026-09-02 09:12:39
186,54,resolved,Tourist located and confirmed safe,2026-09-02 09:50:18
187,55,detected,AI anomaly: prolonged inactivity 228 min,2026-09-04 10:28:27
188,55,acknowledged,Acknowledged by control room,2026-09-04 10:29:40
189,55,dispatched,Auto-dispatched to Unit Golf-2 (North Guwahati Police Station),2026-09-04 10:33:42
190,56,detected,AI anomaly: prolonged inactivity 79 min,2026-09-05 07:55:49
191,56,acknowledged,Acknowledged by control room,2026-09-05 07:57:28
192,56,dispatched,"Auto-dispatched to Unit India-1 (Tourist Assistance Post, Kamakhya)",2026-09-05 07:58:11
193,56,resolved,Tourist located and confirmed safe,2026-09-05 08:05:36
194,57,detected,AI anomaly: prolonged inactivity 188 min,2026-08-31 09:55:15
195,57,acknowledged,Acknowledged by control room,2026-08-31 09:55:45
196,57,dispatched,Auto-dispatched to Unit Charlie-3 (Noonmati Police Station),2026-08-31 10:02:56
197,57,resolved,False positive - tourist confirmed movement by phone,2026-08-31 10:06:55
198,58,detected,AI anomaly: prolonged inactivity 430 min,2026-09-01 14:02:11
199,58,acknowledged,Acknowledged by control room,2026-09-01 14:04:00
200,59,detected,AI anomaly: prolonged inactivity 58 min,2026-07-26 07:40:59
201,59,acknowledged,Acknowledged by control room,2026-07-26 07:43:13
202,59,dispatched,Auto-dispatched to Unit Delta-2 (Fatasil Ambari Police Station),2026-07-26 07:46:32
203,59,resolved,False positive - tourist confirmed movement by phone,2026-07-26 07:51:10
204,60,detected,AI anomaly: prolonged inactivity 57 min,2026-07-27 07:50:09
205,60,acknowledged,Acknowledged by control room,2026-07-27 08:09:34
206,60,dispatched,Auto-dispatched to Unit Echo-3 (Airport Police Outpost),2026-07-27 08:11:32
207,60,resolved,False positive - tourist confirmed movement by phone,2026-07-27 08:17:21
208,61,detected,AI anomaly: prolonged inactivity 234 min,2026-07-28 10:48:25
209,61,acknowledged,Acknowledged by control room,2026-07-28 10:50:40
210,61,dispatched,Auto-dispatched to Unit Alpha-2 (Basistha Police Station),2026-07-28 10:51:35
211,61,resolved,"Escorted out of restricted area, advisory issued",2026-07-28 11:22:40
212,62,detected,AI anomaly: prolonged inactivity 75 min,2026-07-29 07:56:51
213,62,acknowledged,Acknowledged by control room,2026-07-29 07:58:07
214,62,dispatched,Auto-dispatched to Unit Echo-1 (Gorchuk Police Station),2026-07-29 07:58:26
215,62,resolved,Handed over to the tourist's emergency contact,2026-07-29 08:08:12
216,63,detected,AI anomaly: prolonged inactivity 379 min,2026-07-31 12:59:11
217,63,acknowledged,Acknowledged by control room,2026-07-31 12:59:58
218,63,dispatched,"Auto-dispatched to Unit Hotel-1 (All Women Police Station, Panbazar)",2026-07-31 13:02:04
219,63,resolved,False positive - tourist confirmed movement by phone,2026-07-31 13:20:06
220,64,detected,AI anomaly: prolonged inactivity 183 min,2026-08-03 09:58:40
221,64,acknowledged,Acknowledged by control room,2026-08-03 10:00:36
222,64,dispatched,Auto-dispatched to Unit Charlie-1 (Chandmari Police Station),2026-08-03 10:01:44
223,64,resolved,Medical assistance provided on site,2026-08-03 10:20:53
224,65,detected,AI anomaly: prolonged inactivity 384 min,2026-08-06 13:15:36
225,65,acknowledged,Acknowledged by control room,2026-08-06 13:16:25
226,65,dispatched,Auto-dispatched to Unit Alpha-2 (Basistha Police Station),2026-08-06 13:17:06
227,66,detected,AI anomaly: prolonged inactivity 60 min,2026-08-07 07:37:31
228,66,acknowledged,Acknowledged by control room,2026-08-07 07:38:21
229,66,dispatched,Auto-dispatched to Unit Charlie-3 (Noonmati Police Station),2026-08-07 07:49:23
230,66,resolved,False positive - tourist confirmed movement by phone,2026-08-07 08:59:33
231,67,detected,AI anomaly: prolonged inactivity 82 min,2026-08-03 07:57:34
232,68,detected,AI anomaly: prolonged inactivity 56 min,2026-08-06 07:46:20
233,68,acknowledged,Acknowledged by control room,2026-08-06 07:46:36
234,68,dispatched,Auto-dispatched to Unit Alpha-2 (Basistha Police Station),2026-08-06 08:06:06
235,68,resolved,Medical assistance provided on site,2026-08-06 08:17:01
236,69,detected,AI anomaly: prolonged inactivity 461 min,2026-08-08 14:41:50
237,69,acknowledged,Acknowledged by control room,2026-08-08 14:44:27
238,69,dispatched,Auto-dispatched to Unit Echo-1 (Gorchuk Police Station),2026-08-08 14:52:59
239,69,resolved,Handed over to the tourist's emergency contact,2026-08-08 15:24:06
240,70,detected,AI anomaly: prolonged inactivity 73 min,2026-08-09 07:54:22
241,70,acknowledged,Acknowledged by control room,2026-08-09 07:58:55
242,70,dispatched,Auto-dispatched to Unit Bravo-3 (Latasil Police Station),2026-08-09 08:06:24
243,70,resolved,"Escorted out of restricted area, advisory issued",2026-08-09 08:15:50
244,71,detected,AI anomaly: prolonged inactivity 67 min,2026-08-10 07:36:42
245,71,acknowledged,Acknowledged by control room,2026-08-10 07:39:26
246,71,dispatched,Auto-dispatched to Unit Delta-1 (Bharalumukh Police Station),2026-08-10 07:54:11
247,71,resolved,False positive - tourist confirmed movement by phone,2026-08-10 07:59:01
248,72,detected,AI anomaly: prolonged inactivity 73 min,2026-08-11 07:46:36
249,72,acknowledged,Acknowledged by control room,2026-08-11 07:47:15
250,72,dispatched,Auto-dispatched to Unit Delta-1 (Bharalumukh Police Station),2026-08-11 07:49:13
251,72,resolved,False positive - tourist confirmed movement by phone,2026-08-11 08:02:37
252,73,detected,AI anomaly: prolonged inactivity 47 min,2026-08-12 07:19:31
253,73,acknowledged,Acknowledged by control room,2026-08-12 07:19:54
254,73,dispatched,"Auto-dispatched to Unit India-1 (Tourist Assistance Post, Kamakhya)",2026-08-12 07:24:11
255,74,detected,AI anomaly: prolonged inactivity 231 min,2026-08-14 10:46:42
256,74,acknowledged,Acknowledged by control room,2026-08-14 10:47:29
257,75,detected,AI anomaly: prolonged inactivity 61 min,2026-08-15 07:46:02
258,75,acknowledged,Acknowledged by control room,2026-08-15 07:47:03
259,75,dispatched,Auto-dispatched to Unit Hotel-2 (Khanapara Traffic Outpost),2026-08-15 07:47:58
260,75,resolved,"Recovered belongings, FIR registered at the local station",2026-08-15 07:55:17
261,76,detected,AI anomaly: prolonged inactivity 53 min,2026-08-16 07:31:20
262,76,acknowledged,Acknowledged by control room,2026-08-16 07:32:50
263,76,dispatched,Auto-dispatched to Unit Echo-1 (Gorchuk Police Station),2026-08-16 07:37:28
264,76,resolved,"Recovered belongings, FIR registered at the local station",2026-08-16 07:39:23
265,77,detected,AI anomaly: prolonged inactivity 62 min,2026-08-17 07:44:06
266,77,acknowledged,Acknowledged by control room,2026-08-17 07:44:43
267,77,dispatched,Auto-dispatched to Unit Echo-3 (Airport Police Outpost),2026-08-17 07:47:10
268,78,detected,AI anomaly: prolonged inactivity 64 min,2026-08-18 08:00:23
269,78,acknowledged,Acknowledged by control room,2026-08-18 08:01:07
270,78,dispatched,Auto-dispatched to Unit Delta-1 (Bharalumukh Police Station),2026-08-18 08:03:41
271,78,resolved,Tourist located and confirmed safe,2026-08-18 10:47:17
272,79,detected,Restricted-zone entry: Kaziranga Core Zone,2026-09-01 07:24:04
273,79,acknowledged,Acknowledged by control room,2026-09-01 07:26:23
274,79,dispatched,Auto-dispatched to Unit Delta-3 (Jalukbari Police Station),2026-09-01 07:27:27
275,80,detected,AI anomaly: prolonged inactivity 375 min,2026-09-02 12:54:12
276,80,acknowledged,Acknowledged by control room,2026-09-02 12:55:04
277,80,dispatched,Auto-dispatched to Unit Echo-3 (Airport Police Outpost),2026-09-02 12:57:21
278,80,resolved,"Recovered belongings, FIR registered at the local station",2026-09-02 13:26:41
279,81,detected,AI anomaly: prolonged inactivity 383 min,2026-09-03 12:59:31
280,81,acknowledged,Acknowledged by control room,2026-09-03 13:01:58
281,81,dispatched,Auto-dispatched to Unit Echo-1 (Gorchuk Police Station),2026-09-03 13:04:01
282,81,resolved,Tourist located and confirmed safe,2026-09-03 13:30:59
283,82,detected,AI anomaly: prolonged inactivity 496 min,2026-09-04 15:02:10
284,82,acknowledged,Acknowledged by control room,2026-09-04 15:03:24
285,83,detected,AI anomaly: prolonged inactivity 265 min,2026-09-05 11:14:47
286,83,acknowledged,Acknowledged by control room,2026-09-05 11:16:45
287,83,dispatched,Auto-dispatched to Unit Echo-2 (Azara Police Station),2026-09-05 11:17:33
288,83,resolved,Tourist located and confirmed safe,2026-09-05 11:30:59
289,84,detected,AI anomaly: prolonged inactivity 55 min,2026-08-07 07:42:57
290,84,acknowledged,Acknowledged by control room,2026-08-07 07:44:55
291,84,dispatched,"Auto-dispatched to Unit India-1 (Tourist Assistance Post, Kamakhya)",2026-08-07 07:46:16
292,84,resolved,"Escorted out of restricted area, advisory issued",2026-08-07 07:52:04
293,85,detected,AI anomaly: prolonged inactivity 47 min,2026-08-08 07:40:13
294,85,acknowledged,Acknowledged by control room,2026-08-08 07:42:44
295,85,dispatched,Auto-dispatched to Unit Bravo-3 (Latasil Police Station),2026-08-08 07:44:32
296,85,resolved,Tourist located and confirmed safe,2026-08-08 08:05:44
297,86,detected,AI anomaly: prolonged inactivity 341 min,2026-09-05 12:31:21
298,86,acknowledged,Acknowledged by control room,2026-09-05 12:31:37
299,86,dispatched,"Auto-dispatched to Unit Hotel-1 (All Women Police Station, Panbazar)",2026-09-05 12:32:23
300,86,resolved,Handed over to the tourist's emergency contact,2026-09-05 13:01:29
301,87,detected,Restricted-zone entry: Riverside Restricted Area,2026-08-04 10:11:20
302,87,acknowledged,Acknowledged by control room,2026-08-04 10:12:56
303,87,dispatched,Auto-dispatched to Unit Golf-1 (Pragjyotishpur Police Station),2026-08-04 10:14:51
304,88,detected,AI anomaly: prolonged inactivity 88 min,2026-08-05 08:01:24
305,88,acknowledged,Acknowledged by control room,2026-08-05 08:02:21
306,88,dispatched,"Auto-dispatched to Unit Hotel-1 (All Women Police Station, Panbazar)",2026-08-05 08:03:31
307,89,detected,Restricted-zone entry: Riverside Restricted Area,2026-08-09 07:32:53
308,89,acknowledged,Acknowledged by control room,2026-08-09 07:33:35
309,89,dispatched,Auto-dispatched to Unit Delta-2 (Fatasil Ambari Police Station),2026-08-09 07:37:59
310,89,resolved,"Escorted out of restricted area, advisory issued",2026-08-09 07:50:34
311,90,detected,AI anomaly: prolonged inactivity 52 min,2026-08-10 07:39:52
312,90,acknowledged,Acknowledged by control room,2026-08-10 07:41:08
313,90,dispatched,Auto-dispatched to Unit Hotel-2 (Khanapara Traffic Outpost),2026-08-10 07:49:50
314,90,resolved,Handed over to the tourist's emergency contact,2026-08-10 08:40:40
315,91,detected,Restricted-zone entry: Dawki Border Belt,2026-08-03 08:20:06
316,91,acknowledged,Acknowledged by control room,2026-08-03 08:20:40
317,91,dispatched,Auto-dispatched to Unit Hotel-2 (Khanapara Traffic Outpost),2026-08-03 08:23:36
318,91,resolved,Medical assistance provided on site,2026-08-03 08:41:17
319,92,detected,AI anomaly: prolonged inactivity 456 min,2026-08-05 14:23:18
320,92,acknowledged,Acknowledged by control room,2026-08-05 14:24:09
321,92,dispatched,Auto-dispatched to Unit Golf-2 (North Guwahati Police Station),2026-08-05 14:25:35
322,92,resolved,Tourist located and confirmed safe,2026-08-05 14:49:36
323,93,detected,AI anomaly: prolonged inactivity 60 min,2026-08-06 07:34:19
324,93,acknowledged,Acknowledged by control room,2026-08-06 07:35:56
325,93,dispatched,Auto-dispatched to Unit Charlie-3 (Noonmati Police Station),2026-08-06 07:44:52
326,93,resolved,"Escorted out of restricted area, advisory issued",2026-08-06 07:57:46
327,94,detected,Restricted-zone entry: Cherrapunji Cliff Edge,2026-08-06 09:27:11
328,95,detected,AI anomaly: prolonged inactivity 335 min,2026-08-07 12:17:14
329,95,acknowledged,Acknowledged by control room,2026-08-07 12:19:31
330,95,dispatched,Auto-dispatched to Unit Delta-1 (Bharalumukh Police Station),2026-08-07 12:21:07
331,95,resolved,Medical assistance provided on site,2026-08-07 13:02:26
332,96,detected,AI anomaly: prolonged inactivity 209 min,2026-08-09 10:21:36
333,96,acknowledged,Acknowledged by control room,2026-08-09 10:22:27
334,96,dispatched,Auto-dispatched to Unit Delta-3 (Jalukbari Police Station),2026-08-09 10:25:02
335,96,resolved,Medical assistance provided on site,2026-08-09 10:46:21
336,97,detected,AI anomaly: prolonged inactivity 63 min,2026-08-10 07:50:24
337,97,acknowledged,Acknowledged by control room,2026-08-10 08:00:29
338,97,dispatched,Auto-dispatched to Unit Golf-1 (Pragjyotishpur Police Station),2026-08-10 08:05:33
339,97,resolved,"Escorted out of restricted area, advisory issued",2026-08-10 08:22:19
340,98,detected,AI anomaly: prolonged inactivity 48 min,2026-08-11 07:36:23
341,98,acknowledged,Acknowledged by control room,2026-08-11 07:37:29
